imdb_id,title,year,director,region_code,budget_usd,us_gross,genres,date,runtime_minutes,averagerating
tt0356150,EuroTrip,2004,Jeff Schaffer,US,25000000.0,18000000.0,Comedy,2004-02-20,,
tt0356470,A Cinderella Story,2004,Mark Rosman,US,19000000.0,51000000.0,"Comedy, Family, Romance",2004-07-10,,
tt0356618,The Forgotten,2004,Joseph Ruben,US,42000000.0,67000000.0,"Drama, Mystery, Sci-Fi",2004-09-24,,
tt0356634,Garfield,2004,Peter Hewitt,US,50000000.0,75000000.0,"Animation, Comedy, Family",2004-06-10,,
tt0356680,The Family Stone,2005,Thomas Bezucha,US,18000000.0,60000000.0,"Comedy, Drama, Romance",2005-12-14,,
tt0356721,I Heart Huckabees,2004,David O. Russell,US,20000000.0,13000000.0,Comedy,2004-09-10,,
tt0356910,Mr. & Mrs. Smith,2005,Doug Liman,US,110000000.0,186000000.0,"Action, Comedy, Crime",2005-06-07,,
tt0357110,The Ballad of Jack and Rose,2005,Rebecca Miller,US,1500000.0,712000.0,Drama,2005-03-25,,
tt0357277,Elektra,2005,Rob Bowman,US,43000000.0,24000000.0,"Action, Adventure, Crime",2005-01-13,,
tt0357413,Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,US,26000000.0,85000000.0,Comedy,2004-07-09,,
tt0358082,Robots,2005,Chris Wedge,US,75000000.0,128000000.0,"Animation, Adventure, Comedy",2005-03-10,,
tt0358135,Shall We Dance,2004,Peter Chelsom,US,50000000.0,58000000.0,"Comedy, Drama, Music",2004-10-15,,
tt0358273,Walk the Line,2005,James Mangold,US,28000000.0,120000000.0,"Biography, Drama, Music",2005-09-13,,
tt0358456,Earthlings,2005,Shaun Monson,US,-1.0,-1.0,"Documentary, Horror",,,
tt0359013,Blade: Trinity,2004,David S. Goyer,US,65000000.0,52000000.0,"Action, Horror, Sci-Fi",2004-12-08,,
tt0359715,My Best Friend's Birthday,1987,Quentin Tarantino,US,5000.0,-1.0,Comedy,,,
tt0359950,The Secret Life of Walter Mitty,2013,Ben Stiller,US,90000000.0,58000000.0,"Comedy, Drama, Fantasy",2013-12-18,114.0,7.3
tt0360139,Chasing Liberty,2004,Andy Cadiff,US,23000000.0,12000000.0,"Comedy, Romance",2004-01-09,,
tt0360201,Wimbledon,2004,Richard Loncraine,US,31000000.0,17000000.0,"Comedy, Romance, Sport",2004-09-13,,
tt0360486,Constantine,2005,Francis Lawrence,US,100000000.0,76000000.0,"Action, Fantasy, Horror",2005-02-08,,
tt0360556,Fahrenheit 451,2018,Ramin Bahrani,US,-1.0,-1.0,"Drama, Sci-Fi, Thriller",,100.0,4.9
tt0360717,King Kong,2005,Peter Jackson,US,207000000.0,218000000.0,"Action, Adventure, Drama",2005-12-12,,
tt0361089,Valiant,2005,Gary Chapman,US,35000000.0,19000000.0,"Animation, Adventure, Comedy",2005-03-25,,
tt0361127,The Woodsman,2004,Nicole Kassell,US,-1.0,1600000.0,Drama,2004-12-24,,
tt0361411,Bride & Prejudice,2004,Gurinder Chadha,GB,7000000.0,6600000.0,"Comedy, Drama, Musical",2004-02-11,,
tt0361467,Confessions of a Teenage Drama Queen,2004,Sara Sugarman,US,15000000.0,29000000.0,"Comedy, Family, Music",2004-02-17,,
tt0361596,Fahrenheit 9/11,2004,Michael Moore,US,6000000.0,119000000.0,"Documentary, Drama, War",2004-06-25,,
tt0361620,First Daughter,2004,Forest Whitaker,US,30000000.0,9100000.0,"Comedy, Drama, Romance",2004-09-24,,
tt0361696,Raise Your Voice,2004,Sean McNamara,US,15000000.0,10000000.0,"Family, Music, Musical",2004-08-10,,
tt0361748,Inglourious Basterds,2009,Quentin Tarantino,US,70000000.0,121000000.0,"Adventure, Drama, War",2009-08-18,,
tt0361862,The Machinist,2004,Brad Anderson,ES,5000000.0,1100000.0,"Drama, Thriller",2004-02-09,,
tt0362120,Scary Movie 4,2006,David Zucker,US,45000000.0,91000000.0,"Comedy, Horror",2006-04-12,,
tt0362165,Son of the Mask,2005,Lawrence Guterman,US,84000000.0,17000000.0,"Comedy, Family, Fantasy",2005-02-18,,
tt0362225,Tell No One,2006,Guillaume Canet,FR,12856224.5553889,6200000.0,"Crime, Drama, Mystery",2006-11-01,,
tt0362227,The Terminal,2004,Steven Spielberg,US,60000000.0,78000000.0,"Comedy, Drama, Romance",2004-06-17,,
